id*domaine
101136*Apprêt et tannage des cuirs, préparation et teinture des fourrures
101057*Aquaculture en eau douce
101056*Aquaculture en mer
101710*Arts du spectacle vivant
101584*Assurance vie
101708*Autre accueil ou accompagnement sans hébergement d'enfants et d'adolescents
101713*Autre création artistique
101582*Autre distribution de crédit
101156*Autre imprimerie (labeur)
101639*Autre mise à disposition de ressources humaines
101080*Autre transformation et conservation de légumes
101594*Autres activités auxiliaires d'assurance et de caisses de retraite
101591*Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.
101648*Autres activités de nettoyage des bâtiments et nettoyage industriel
101650*Autres activités de nettoyage n.c.a.
101532*Autres activités de poste et de courrier
101658*Autres activités de soutien aux entreprises n.c.a.
101567*Autres activités de télécommunication
101548*Autres activités d'édition
101686*Autres activités des médecins spécialistes
101583*Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.
101091*Autres activités du travail des grains
101070*Autres activités extractives n.c.a.
101572*Autres activités informatiques
101723*Autres activités liées au sport
101319*Autres activités manufacturières n.c.a.
101725*Autres activités récréatives et de loisirs
101585*Autres assurances
101467*Autres commerces de détail alimentaires en magasin spécialisé
101460*Autres commerces de détail en magasin non spécialisé
101494*Autres commerces de détail spécialisés divers
101498*Autres commerces de détail sur éventaires et marchés
101028*Autres cultures non permanentes
101037*Autres cultures permanentes
101680*Autres enseignements
101536*Autres hébergements
101396*Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques
101402*Autres intermédiaires du commerce en denrées, boissons et tabac
101405*Autres intermédiaires du commerce en produits divers
101578*Autres intermédiations monétaires
101731*Autres organisations fonctionnant par adhésion volontaire
101642*Autres services de réservation et activités connexes
101542*Autres services de restauration n.c.a.
101576*Autres services d'information n.c.a.
101746*Autres services personnels n.c.a.
101508*Autres transports routiers de voyageurs
101379*Autres travaux de finition
101372*Autres travaux d'installation n.c.a.
101385*Autres travaux spécialisés de construction
101741*Blanchisserie-teinturerie de détail
101740*Blanchisserie-teinturerie de gros
101095*Boulangerie et boulangerie-pâtisserie
101538*Cafétérias et autres libres-services
101587*Caisses de retraite
101340*Captage, traitement et distribution d'eau
101401*Centrales d'achat alimentaires
101395*Centrales d'achat de carburant
101404*Centrales d'achat non alimentaires
101690*Centres de collecte et banques d'organes
101076*Charcuterie
101049*Chasse, piégeage et services annexes
101742*Coiffure
101160*Cokéfaction
101343*Collecte des déchets dangereux
101342*Collecte des déchets non dangereux
101341*Collecte et traitement des eaux usées
101454*Commerce d'alimentation générale
101388*Commerce d'autres véhicules automobiles
101338*Commerce de combustibles gazeux par conduites
101496*Commerce de détail alimentaire sur éventaires et marchés
101476*Commerce de détail d'appareils électroménagers en magasin spécialisé
101482*Commerce de détail d'articles de sport en magasin spécialisé
101491*Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé
101488*Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé
101478*Commerce de détail d'autres équipements du foyer
101495*Commerce de détail de biens d'occasion en magasin
101465*Commerce de détail de boissons en magasin spécialisé
101468*Commerce de détail de carburants en magasin spécialisé
101490*Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé
101461*Commerce de détail de fruits et légumes en magasin spécialisé
101483*Commerce de détail de jeux et jouets en magasin spécialisé
101480*Commerce de détail de journaux et papeterie en magasin spécialisé
101485*Commerce de détail de la chaussure
101479*Commerce de détail de livres en magasin spécialisé
101486*Commerce de détail de maroquinerie et d'articles de voyage
101471*Commerce de détail de matériels audio et vidéo en magasin spécialisé
101470*Commerce de détail de matériels de télécommunication en magasin spécialisé
101477*Commerce de détail de meubles
101464*Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé
101489*Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé
101463*Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé
101466*Commerce de détail de produits à base de tabac en magasin spécialisé
101487*Commerce de détail de produits pharmaceutiques en magasin spécialisé
101453*Commerce de détail de produits surgelés
101474*Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus)
101473*Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²)
101475*Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé
101497*Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés
101472*Commerce de détail de textiles en magasin spécialisé
101462*Commerce de détail de viandes et de produits à base de viande en magasin spécialisé
101481*Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé
101392*Commerce de détail d'équipements automobiles
101484*Commerce de détail d'habillement en magasin spécialisé
101469*Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé
101422*Commerce de gros (commerce interentreprises) alimentaire non spécialisé
101420*Commerce de gros (commerce interentreprises) alimentaire spécialisé divers
101408*Commerce de gros (commerce interentreprises) d'animaux vivants
101425*Commerce de gros (commerce interentreprises) d'appareils électroménagers
101446*Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration
101430*Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie
101431*Commerce de gros (commerce interentreprises) d'autres biens domestiques
101439*Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau
101450*Commerce de gros (commerce interentreprises) d'autres produits intermédiaires
101445*Commerce de gros (commerce interentreprises) de bois et de matériaux de construction
101415*Commerce de gros (commerce interentreprises) de boissons
101418*Commerce de gros (commerce interentreprises) de café, thé, cacao et épices
101406*Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail
101443*Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
101433*Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication
101409*Commerce de gros (commerce interentreprises) de cuirs et peaux
101451*Commerce de gros (commerce interentreprises) de déchets et débris
101407*Commerce de gros (commerce interentreprises) de fleurs et plantes
101442*Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services
101441*Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers
101448*Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage
101410*Commerce de gros (commerce interentreprises) de fruits et légumes
101436*Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil
101437*Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement
101435*Commerce de gros (commerce interentreprises) de machines-outils
101434*Commerce de gros (commerce interentreprises) de matériel agricole
101440*Commerce de gros (commerce interentreprises) de matériel électrique
101429*Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage
101444*Commerce de gros (commerce interentreprises) de minerais et métaux
101438*Commerce de gros (commerce interentreprises) de mobilier de bureau
101427*Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté
101419*Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques
101416*Commerce de gros (commerce interentreprises) de produits à base de tabac
101412*Commerce de gros (commerce interentreprises) de produits à base de viande
101449*Commerce de gros (commerce interentreprises) de produits chimiques
101414*Commerce de gros (commerce interentreprises) de produits laitiers, ¿ufs, huiles et matières grasses comestibles
101428*Commerce de gros (commerce interentreprises) de produits pharmaceutiques
101421*Commerce de gros (commerce interentreprises) de produits surgelés
101447*Commerce de gros (commerce interentreprises) de quincaillerie
101417*Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie
101423*Commerce de gros (commerce interentreprises) de textiles
101426*Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien
101411*Commerce de gros (commerce interentreprises) de viandes de boucherie
101413*Commerce de gros (commerce interentreprises) de volailles et gibier
101424*Commerce de gros (commerce interentreprises) d'habillement et de chaussures
101432*Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels
101452*Commerce de gros (commerce interentreprises) non spécialisé
101391*Commerce de gros d'équipements automobiles
101387*Commerce de voitures et de véhicules automobiles légers
101335*Commerce d'électricité
101393*Commerce et réparation de motocycles
101493*Commerces de détail de charbons et combustibles
101492*Commerces de détail d'optique
101330*Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels
101605*Conseil en relations publiques et communication
101569*Conseil en systèmes et logiciels informatiques
101606*Conseil pour les affaires et autres conseils de gestion
101300*Construction aéronautique et spatiale
101354*Construction d'autres bâtiments
101362*Construction d'autres ouvrages de génie civil n.c.a.
101298*Construction de bateaux de plaisance
101299*Construction de locomotives et d'autre matériel ferroviaire roulant
101353*Construction de maisons individuelles
101297*Construction de navires et de structures flottantes
101360*Construction de réseaux électriques et de télécommunications
101359*Construction de réseaux pour fluides
101355*Construction de routes et autoroutes
101293*Construction de véhicules automobiles
101301*Construction de véhicules militaires de combat
101356*Construction de voies ferrées de surface et souterraines
101357*Construction d'ouvrages d'art
101361*Construction d'ouvrages maritimes et fluviaux
101358*Construction et entretien de tunnels
101610*Contrôle technique automobile
101589*Courtage de valeurs mobilières et de marchandises
101712*Création artistique relevant des arts plastiques
101581*Crédit-bail
101094*Cuisson de produits de boulangerie
101031*Culture d'agrumes
101033*Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
101022*Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses
101032*Culture de fruits à pépins et à noyau
101034*Culture de fruits oléagineux
101030*Culture de fruits tropicaux et subtropicaux
101025*Culture de la canne à sucre
101029*Culture de la vigne
101024*Culture de légumes, de melons, de racines et de tubercules
101035*Culture de plantes à boissons
101036*Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques
101027*Culture de plantes à fibres
101023*Culture du riz
101026*Culture du tabac
101019*Culture et élevage associés
101543*Débits de boissons
101237*Décolletage
101235*Découpage, emboutissage
101663*Défense
101346*Démantèlement d'épaves
101348*Dépollution et autres services de gestion des déchets
101649*Désinfection, désinsectisation, dératisation
101337*Distribution de combustibles gazeux par conduites
101557*Distribution de films cinématographiques
101334*Distribution d'électricité
101669*Distribution sociale de revenus
101562*Edition de chaînes généralistes
101563*Edition de chaînes thématiques
101549*Édition de jeux électroniques
101546*Édition de journaux
101544*Édition de livres
101552*Edition de logiciels applicatifs
101551*Edition de logiciels outils de développement et de langages
101550*Édition de logiciels système et de réseau
101545*Édition de répertoires et de fichiers d'adresses
101547*Édition de revues et périodiques
101561*Édition et diffusion de programmes radio
101558*Edition et distribution vidéo
101223*Élaboration et transformation de matières nucléaires
101046*Élevage d'autres animaux
101040*Élevage d'autres bovins et de buffles
101042*Élevage de chameaux et d'autres camélidés
101041*Élevage de chevaux et d'autres équidés
101044*Élevage de porcins
101039*Élevage de vaches laitières
101045*Élevage de volailles
101043*Élevage d'ovins et de caprins
101120*Ennoblissement textile
101560*Enregistrement sonore et édition musicale
101164*Enrichissement et retraitement de matières nucléaires
101677*Enseignement culturel
101676*Enseignement de disciplines sportives et d'activités de loisirs
101678*Enseignement de la conduite
101674*Enseignement post-secondaire non supérieur
101670*Enseignement pré-primaire
101671*Enseignement primaire
101672*Enseignement secondaire général
101673*Enseignement secondaire technique ou professionnel
101675*Enseignement supérieur
101522*Entreposage et stockage frigorifique
101523*Entreposage et stockage non frigorifique
101745*Entretien corporel
101390*Entretien et réparation d'autres véhicules automobiles
101389*Entretien et réparation de véhicules automobiles légers
101214*Étirage à froid de barres
101617*Études de marché et sondages
101592*Évaluation des risques et dommages
101066*Exploitation de gravières et sablières, extraction d'argiles et de kaolin
101051*Exploitation forestière
101064*Extraction d'autres minerais de métaux non ferreux
101061*Extraction de gaz naturel
101058*Extraction de houille
101059*Extraction de lignite
101062*Extraction de minerais de fer
101063*Extraction de minerais d'uranium et de thorium
101060*Extraction de pétrole brut
101065*Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise
101068*Extraction de tourbe
101067*Extraction des minéraux chimiques et d'engrais minéraux
101104*Fabrication d'aliments homogénéisés et diététiques
101107*Fabrication d'aliments pour animaux de compagnie
101106*Fabrication d'aliments pour animaux de ferme
101266*Fabrication d'appareils d'éclairage électrique
101267*Fabrication d'appareils électroménagers
101268*Fabrication d'appareils ménagers non électriques
101197*Fabrication d'appareils sanitaires en céramique
101233*Fabrication d'armes et de munitions
101196*Fabrication d'articles céramiques à usage domestique ou ornemental
101134*Fabrication d'articles chaussants à mailles
101312*Fabrication d'articles de bijouterie fantaisie et articles similaires
101318*Fabrication d'articles de brosserie
101311*Fabrication d'articles de joaillerie et bijouterie
101152*Fabrication d'articles de papeterie
101314*Fabrication d'articles de sport
101137*Fabrication d'articles de voyage, de maroquinerie et de sellerie
101245*Fabrication d'articles en fils métalliques, de chaînes et de ressorts
101133*Fabrication d'articles en fourrure
101151*Fabrication d'articles en papier à usage sanitaire ou domestique
101247*Fabrication d'articles métalliques ménagers
101122*Fabrication d'articles textiles, sauf habillement
101135*Fabrication d'autres articles à mailles
101273*Fabrication d'autres articles de robinetterie
101182*Fabrication d'autres articles en caoutchouc
101154*Fabrication d'autres articles en papier ou en carton
101248*Fabrication d'autres articles métalliques
101296*Fabrication d'autres équipements automobiles
101304*Fabrication d'autres équipements de transport n.c.a.
101264*Fabrication d'autres fils et câbles électroniques ou électriques
101281*Fabrication d'autres machines d'usage général
101292*Fabrication d'autres machines spécialisées
101284*Fabrication d'autres machines-outils
101269*Fabrication d'autres matériels électriques
101309*Fabrication d'autres meubles et industries connexes de l'ameublement
101242*Fabrication d'autres outillages
101208*Fabrication d'autres ouvrages en béton, en ciment ou en plâtre
101272*Fabrication d'autres pompes et compresseurs
101105*Fabrication d'autres produits alimentaires n.c.a.
101200*Fabrication d'autres produits céramiques
101199*Fabrication d'autres produits céramiques à usage technique
101165*Fabrication d'autres produits chimiques inorganiques de base n.c.a.
101177*Fabrication d'autres produits chimiques n.c.a.
101166*Fabrication d'autres produits chimiques organiques de base
101088*Fabrication d'autres produits laitiers
101211*Fabrication d'autres produits minéraux non métalliques n.c.a.
101231*Fabrication d'autres réservoirs, citernes et conteneurs métalliques
101127*Fabrication d'autres textiles n.c.a.
101126*Fabrication d'autres textiles techniques et industriels
101132*Fabrication d'autres vêtements et accessoires
101205*Fabrication de béton prêt à l'emploi
101086*Fabrication de beurre
101303*Fabrication de bicyclettes et de véhicules pour invalides
101113*Fabrication de bière
101097*Fabrication de biscuits, biscottes et pâtisseries de conservation
101195*Fabrication de briques, tuiles et produits de construction, en terre cuite
101263*Fabrication de câbles de fibres optiques
101100*Fabrication de cacao, chocolat et de produits de confiserie
101169*Fabrication de caoutchouc synthétique
101194*Fabrication de carreaux en céramique
101294*Fabrication de carrosseries et remorques
101250*Fabrication de cartes électroniques assemblées
101148*Fabrication de carton ondulé
101149*Fabrication de cartonnages
101143*Fabrication de charpentes et d'autres menuiseries
101138*Fabrication de chaussures
101202*Fabrication de chaux et plâtre
101111*Fabrication de cidre et de vins de fruits
101201*Fabrication de ciment
101175*Fabrication de colles
101163*Fabrication de colorants et de pigments
101249*Fabrication de composants électroniques
101102*Fabrication de condiments et assaisonnements
101239*Fabrication de coutellerie
101178*Fabrication de fibres artificielles ou synthétiques
101191*Fabrication de fibres de verre
101124*Fabrication de ficelles, cordes et filets
101275*Fabrication de fours et brûleurs
101087*Fabrication de fromage
101243*Fabrication de fûts et emballages métalliques similaires
101162*Fabrication de gaz industriels
101232*Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central
101089*Fabrication de glaces et sorbets
101315*Fabrication de jeux et jouets
101085*Fabrication de lait liquide et de produits frais
101317*Fabrication de lunettes
101282*Fabrication de machines agricoles et forestières
101291*Fabrication de machines d'imprimerie
101277*Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)
101285*Fabrication de machines pour la métallurgie
101290*Fabrication de machines pour le travail du caoutchouc ou des plastiques
101289*Fabrication de machines pour les industries du papier et du carton
101288*Fabrication de machines pour les industries textiles
101286*Fabrication de machines pour l'extraction ou la construction
101287*Fabrication de machines pour l'industrie agro-alimentaire
101283*Fabrication de machines-outils pour le travail des métaux
101114*Fabrication de malt
101084*Fabrication de margarine et graisses comestibles similaires
101307*Fabrication de matelas
101261*Fabrication de matériel de distribution et de commande électrique
101276*Fabrication de matériel de levage et de manutention
101265*Fabrication de matériel d'installation électrique
101316*Fabrication de matériel médico-chirurgical et dentaire
101258*Fabrication de matériels optique et photographique
101168*Fabrication de matières plastiques de base
101305*Fabrication de meubles de bureau et de magasin
101306*Fabrication de meubles de cuisine
101206*Fabrication de mortiers et bétons secs
101270*Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules
101260*Fabrication de moteurs, génératrices et transformateurs électriques
101302*Fabrication de motocycles
101241*Fabrication de moules et modèles
101125*Fabrication de non-tissés, sauf habillement
101147*Fabrication de papier et de carton
101153*Fabrication de papiers peints
101173*Fabrication de parfums et de produits pour la toilette
101142*Fabrication de parquets assemblés
101146*Fabrication de pâte à papier
101098*Fabrication de pâtes alimentaires
101171*Fabrication de peintures, vernis, encres et mastics
101170*Fabrication de pesticides et d'autres produits agrochimiques
101186*Fabrication de pièces techniques à base de matières plastiques
101262*Fabrication de piles et d'accumulateurs électriques
101141*Fabrication de placage et de panneaux de bois
101183*Fabrication de plaques, feuilles, tubes et profilés en matières plastiques
101103*Fabrication de plats préparés
101229*Fabrication de portes et fenêtres en métal
101180*Fabrication de préparations pharmaceutiques
101117*Fabrication de produits à base de tabac
101210*Fabrication de produits abrasifs
101092*Fabrication de produits amylacés
101167*Fabrication de produits azotés et d'engrais
101187*Fabrication de produits de consommation courante en matières plastiques
101253*Fabrication de produits électroniques grand public
101174*Fabrication de produits explosifs
101179*Fabrication de produits pharmaceutiques de base
101193*Fabrication de produits réfractaires
101230*Fabrication de radiateurs et de chaudières pour le chauffage central
101172*Fabrication de savons, détergents et produits d'entretien
101240*Fabrication de serrures et de ferrures
101308*Fabrication de sièges d'ameublement d'intérieur
101228*Fabrication de structures métalliques et de parties de structures
101099*Fabrication de sucre
101259*Fabrication de supports magnétiques et optiques
101123*Fabrication de tapis et moquettes
101213*Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier
101190*Fabrication de verre creux
101188*Fabrication de verre plat
101131*Fabrication de vêtements de dessous
101130*Fabrication de vêtements de dessus
101129*Fabrication de vêtements de travail
101128*Fabrication de vêtements en cuir
101109*Fabrication de vins effervescents
101246*Fabrication de vis et de boulons
101203*Fabrication d'éléments en béton pour la construction
101185*Fabrication d'éléments en matières plastiques pour la construction
101204*Fabrication d'éléments en plâtre pour la construction
101144*Fabrication d'emballages en bois
101184*Fabrication d'emballages en matières plastiques
101150*Fabrication d'emballages en papier
101244*Fabrication d'emballages métalliques légers
101274*Fabrication d'engrenages et d'organes mécaniques de transmission
101279*Fabrication d'équipements aérauliques et frigorifiques industriels
101254*Fabrication d'équipements d'aide à la navigation
101252*Fabrication d'équipements de communication
101280*Fabrication d'équipements d'emballage, de conditionnement et de pesage
101257*Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques
101295*Fabrication d'équipements électriques et électroniques automobiles
101271*Fabrication d'équipements hydrauliques et pneumatiques
101121*Fabrication d'étoffes à mailles
101176*Fabrication d'huiles essentielles
101082*Fabrication d'huiles et graisses brutes
101083*Fabrication d'huiles et graisses raffinées
101255*Fabrication d'instrumentation scientifique et technique
101313*Fabrication d'instruments de musique
101198*Fabrication d'isolateurs et pièces isolantes en céramique
101145*Fabrication d'objets divers en bois, fabrication d'objets en liège, vannerie et sparterie
101251*Fabrication d'ordinateurs et d'équipements périphériques
101278*Fabrication d'outillage portatif à moteur incorporé
101207*Fabrication d'ouvrages en fibre-ciment
101192*Fabrication et façonnage d'autres articles en verre, y compris verre technique
101181*Fabrication et rechapage de pneumatiques
101093*Fabrication industrielle de pain et de pâtisserie fraîche
101189*Façonnage et transformation du verre plat
101225*Fonderie d'acier
101227*Fonderie d'autres métaux non ferreux
101224*Fonderie de fonte
101226*Fonderie de métaux légers
101580*Fonds de placement et entités financières similaires
101366*Forages et sondages
101234*Forge, estampage, matriçage, métallurgie des poudres
101679*Formation continue d'adultes
101310*Frappe de monnaie
101595*Gestion de fonds
101714*Gestion de salles de spectacles
101715*Gestion des bibliothèques et des archives
101718*Gestion des jardins botaniques et zoologiques et des réserves naturelles
101716*Gestion des musées
101668*Gestion des retraites complémentaires
101717*Gestion des sites et monuments historiques et des attractions touristiques similaires
101571*Gestion d'installations informatiques
101720*Gestion d'installations sportives
101459*Grands magasins
101696*Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé
101695*Hébergement médicalisé pour enfants handicapés
101694*Hébergement médicalisé pour personnes âgées
101702*Hébergement social pour adultes et familles en difficultés et autre hébergement social
101701*Hébergement social pour enfants en difficultés
101700*Hébergement social pour handicapés  physiques
101697*Hébergement social pour handicapés mentaux et malades mentaux
101699*Hébergement social pour personnes âgées
101698*Hébergement social pour toxicomanes
101534*Hébergement touristique et autre hébergement de courte durée
101256*Horlogerie
101533*Hôtels et hébergement similaire
101458*Hypermarchés
101140*Imprégnation du bois
101155*Imprimerie de journaux
101115*Industrie des eaux de table
101609*Ingénierie, études techniques
101329*Installation de machines et équipements mécaniques
101328*Installation de structures métalliques, chaudronnées et de tuyauterie
101331*Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels
101397*Intermédiaires du commerce en bois et matériaux de construction
101398*Intermédiaires du commerce en machines, équipements industriels, navires et avions
101394*Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis
101399*Intermédiaires du commerce en meubles, articles de ménage et quincaillerie
101400*Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir
101403*Intermédiaires spécialisés dans le commerce d'autres produits spécifiques
101664*Justice
101689*Laboratoires d'analyses médicales
101215*Laminage à froid de feuillards
101386*Location avec opérateur de matériel de construction
101512*Location de camions avec chauffeur
101624*Location de courte durée de voitures et de véhicules automobiles légers
101597*Location de logements
101625*Location de longue durée de voitures et de véhicules automobiles légers
101598*Location de terrains et d'autres biens immobiliers
101628*Location de vidéocassettes et disques vidéo
101627*Location et location-bail d'articles de loisirs et de sport
101629*Location et location-bail d'autres biens personnels et domestiques
101635*Location et location-bail d'autres machines, équipements et biens matériels n.c.a.
101626*Location et location-bail de camions
101632*Location et location-bail de machines de bureau et de matériel informatique
101630*Location et location-bail de machines et équipements agricoles
101631*Location et location-bail de machines et équipements pour la construction
101634*Location et location-bail de matériels de transport aérien
101633*Location et location-bail de matériels de transport par eau
101636*Location-bail de propriété intellectuelle et de produits similaires, à l'exception des ¿uvres soumises à copyright
101457*Magasins multi-commerces
101528*Manutention non portuaire
101527*Manutention portuaire
101238*Mécanique industrielle
101529*Messagerie, fret express
101219*Métallurgie de l'aluminium
101222*Métallurgie des autres métaux non ferreux
101221*Métallurgie du cuivre
101220*Métallurgie du plomb, du zinc ou de l'étain
101090*Meunerie
101647*Nettoyage courant des bâtiments
101655*Organisation de foires, salons professionnels et congrès
101719*Organisation de jeux de hasard et d'argent
101096*Pâtisserie
101055*Pêche en eau douce
101054*Pêche en mer
101653*Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau
101574*Portails internet
101556*Post-production de films cinématographiques, de vidéo et de programmes de télévision
101687*Pratique dentaire
101118*Préparation de fibres textiles et filature
101079*Préparation de jus de fruits et légumes
101075*Préparation industrielle de produits à base de viande
101112*Production d'autres boissons fermentées non distillées
101108*Production de boissons alcooliques distillées
101116*Production de boissons rafraîchissantes
101336*Production de combustibles gazeux
101553*Production de films et de programmes pour la télévision
101554*Production de films institutionnels et publicitaires
101555*Production de films pour le cinéma
101218*Production de métaux précieux
101069*Production de sel
101332*Production d'électricité
101339*Production et distribution de vapeur et d'air conditionné
101216*Profilage à froid par formage ou pliage
101568*Programmation informatique
101559*Projection de films cinématographiques
101351*Promotion immobilière d'autres bâtiments
101350*Promotion immobilière de bureaux
101349*Promotion immobilière de logements
101161*Raffinage du pétrole
101586*Réassurance
101613*Recherche-développement en autres sciences physiques et naturelles
101612*Recherche-développement en biotechnologie
101614*Recherche-développement en sciences humaines et sociales
101052*Récolte de produits forestiers non ligneux poussant à l'état sauvage
101347*Récupération de déchets triés
101616*Régie publicitaire de médias
101158*Reliure et activités connexes
101735*Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin
101738*Réparation d'articles d'horlogerie et de bijouterie
101739*Réparation d'autres biens personnels et domestiques
101327*Réparation d'autres équipements
101736*Réparation de chaussures et d'articles en cuir
101321*Réparation de machines et équipements mécaniques
101322*Réparation de matériels électroniques et optiques
101737*Réparation de meubles et d'équipements du foyer
101734*Réparation de produits électroniques grand public
101733*Réparation d'équipements de communication
101323*Réparation d'équipements électriques
101732*Réparation d'ordinateurs et d'équipements périphériques
101320*Réparation d'ouvrages en métaux
101325*Réparation et maintenance d'aéronefs et d'engins spatiaux
101326*Réparation et maintenance d'autres équipements de transport
101324*Réparation et maintenance navale
101038*Reproduction de plantes
101159*Reproduction d'enregistrements
101541*Restauration collective sous contrat
101539*Restauration de type rapide
101537*Restauration traditionnelle
101751*Sans correspondance insee
101139*Sciage et rabotage du bois, hors imprégnation
101652*Services administratifs combinés de bureau
